"Time [ns]","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='0A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='12.7777777777778A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='25.5555555555556A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='38.3333333333333A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='51.1111111111111A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='63.8888888888889A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='76.6666666666667A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='89.4444444444445A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='102.222222222222A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='115A'"
4560000.00000001,60.9000000000002,0,60.9000000000002,0.0239223483332058,60.9000000000002,0.0479441628056667,60.9000000000002,0.0720195864010216,60.9000000000002,0.096109429606299,60.9000000000002,0.120205394778985,60.9000000000002,0.144304744472716,60.9000000000002,0.16840539891955,60.9000000000002,0.192505866750133,60.9000000000002,0.216605147320478
4620000.00000001,61.8000000000003,0,61.8000000000003,0.0244022923598628,61.8000000000003,0.048911023001359,61.8000000000003,0.0734739052850397,61.8000000000003,0.0980517286322377,61.8000000000003,0.122635951288643,61.8000000000003,0.147223741118128,61.8000000000003,0.17181295316407,61.8000000000003,0.196402034687019,61.8000000000003,0.220989916848484
4680000.00000001,62.7000000000003,0,62.7000000000003,0.0252829206081093,62.7000000000003,0.0506855473046857,62.7000000000003,0.0761436130548027,62.7000000000003,0.101618037665691,62.7000000000003,0.127099737101965,62.7000000000003,0.152585538282407,62.7000000000003,0.178072624137068,62.7000000000003,0.203559145632466,62.7000000000003,0.229043896068336
4740000.00000001,63.6000000000004,0,63.6000000000004,0.0267061216654596,63.6000000000004,0.0535547942490745,63.6000000000004,0.0804619031715368,63.6000000000004,0.107388447199255,63.6000000000004,0.134322957360525,63.6000000000004,0.161261037144241,63.6000000000004,0.188199267203552,63.6000000000004,0.215135866923166,63.6000000000004,0.242069198374744
4800000.00000001,64.4999999999999,0,64.4999999999999,0.0288696336997105,64.4999999999999,0.0579196793280396,64.4999999999999,0.0870352651659571,64.4999999999999,0.116172317619722,64.4999999999999,0.145316419436197,64.4999999999999,0.174462288477081,64.4999999999999,0.203606504873886,64.4999999999999,0.232746504179547,64.4999999999999,0.261879144852054
4860000.00000001,65.3999999999999,0,65.3999999999999,0.0328790972156849,65.3999999999999,0.0660176506265402,65.3999999999999,0.0992338521995342,65.3999999999999,0.132467271727036,65.3999999999999,0.165704355995181,65.3999999999999,0.198936305971219,65.3999999999999,0.232151885670618,65.3999999999999,0.265277783455815,65.3999999999999,0.297741303191979
4920000.00000001,66.3,0,66.3,0.0407748916218416,66.3,0.0819899514067844,66.3,0.123273187893903,66.3,0.164550208620682,66.3,0.204957664365617,66.3,0.241908928730871,66.3,0.276383467457259,66.3,0.309900840811265,66.3,0.341566987008183
4980000.00000001,67.2,0,67.2,0.0546925258509835,67.2,0.110136878942884,67.2,0.165080811840941,67.2,0.213416064851685,67.2,0.254400500576167,67.2,0.290262826302769,67.2,0.323943694833457,67.2,0.356489019991425,67.2,0.387727417953743
5040000.00000001,68.1000000000001,0,68.1000000000001,0.0691196356033041,68.1000000000001,0.139270536730382,68.1000000000001,0.207565849908475,68.1000000000001,0.260334843965864,68.1000000000001,0.300860732573556,68.1000000000001,0.337105001542447,68.1000000000001,0.370512061174118,68.1000000000001,0.402110621973102,68.1000000000001,0.432716615908
5100000.00000001,69.0000000000001,0,69.0000000000001,0.0814723957125198,69.0000000000001,0.164231688132379,69.0000000000001,0.244528400392545,69.0000000000001,0.305425887145924,69.0000000000001,0.347949736776788,69.0000000000001,0.384271608830377,69.0000000000001,0.417570360649457,69.0000000000001,0.448987860684829,69.0000000000001,0.479457372383839
5160000.00000001,69.9000000000002,0,69.9000000000002,0.091726956343005,69.9000000000002,0.184972297420486,69.9000000000002,0.276142466346901,69.9000000000002,0.348460844549849,69.9000000000002,0.394780229580833,69.9000000000002,0.43091039296018,69.9000000000002,0.464317990586585,69.9000000000002,0.496184822086559,69.9000000000002,0.526704318985772
5220000.00000001,70.8000000000003,0,70.8000000000003,0.100717348286095,70.8000000000003,0.203149569739418,70.8000000000003,0.303876710894673,70.8000000000003,0.38741880179653,70.8000000000003,0.43894104872457,70.8000000000003,0.477397596958268,70.8000000000003,0.511679968769957,70.8000000000003,0.543554183083957,70.8000000000003,0.573615655673929
5280000.00000001,71.7000000000003,0,71.7000000000003,0.107631232552406,71.7000000000003,0.217134160854952,71.7000000000003,0.32549521929662,71.7000000000003,0.419697744447309,71.7000000000003,0.482210263091297,71.7000000000003,0.523239745696412,71.7000000000003,0.557707903834645,71.7000000000003,0.589472455702609,71.7000000000003,0.619473784514337
5340000.00000001,72.6000000000004,0,72.6000000000004,0.113526007452049,72.6000000000004,0.229055823991353,72.6000000000004,0.343512839134076,72.6000000000004,0.446927409775364,72.6000000000004,0.520281913107591,72.6000000000004,0.566888455804821,72.6000000000004,0.602726551701039,72.6000000000004,0.634535669790458,72.6000000000004,0.664018670066799
